task_id,cluster_key,contest_date,difficulty,endpoint_id,provider,model,call_status,passed,prompt_tokens,completion_tokens,total_tokens,estimated_cost_usd,provider_cost_usd,charged_cost_usd,latency_s,error_message
arc195_b,2025-03-23T00:00:00,2025-03-23T00:00:00,hard,sonnet,anthropic,claude-sonnet-4-6,succeeded,0,640,1432,2072,0.0234,,0.0234,23.678933313989546,
arc195_c,2025-03-23T00:00:00,2025-03-23T00:00:00,hard,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,0,809,32768,33577,0.0824054,,0.0824054,197.9402424750151,
arc195_c,2025-03-23T00:00:00,2025-03-23T00:00:00,hard,sonnet,anthropic,claude-sonnet-4-6,succeeded,0,905,1290,2195,0.022064999999999998,,0.022064999999999998,624.599210824992,
arc195_d,2025-03-23T00:00:00,2025-03-23T00:00:00,hard,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,0,548,32768,33316,0.08224880000000001,,0.08224880000000001,197.642155758047,
arc195_d,2025-03-23T00:00:00,2025-03-23T00:00:00,hard,sonnet,anthropic,claude-sonnet-4-6,succeeded,0,607,2229,2836,0.035256,,0.035256,3036.9870908900048,
arc195_a,2025-03-23T00:00:00,2025-03-23T00:00:00,medium,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,0,393,32768,33161,0.0821558,,0.0821558,99.82561047998024,
arc195_a,2025-03-23T00:00:00,2025-03-23T00:00:00,medium,sonnet,anthropic,claude-sonnet-4-6,succeeded,1,438,804,1242,0.013374,,0.013374,10.155036265030503,
abc398_f,2025-03-22T00:00:00,2025-03-22T00:00:00,hard,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,1,199,22441,22640,0.0562219,,0.0562219,106.6041724680108,
abc398_f,2025-03-22T00:00:00,2025-03-22T00:00:00,hard,sonnet,anthropic,claude-sonnet-4-6,succeeded,1,218,1518,1736,0.023423999999999997,,0.023423999999999997,23.110401632031426,
abc398_b,2025-03-22T00:00:00,2025-03-22T00:00:00,medium,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,1,353,2900,3253,0.0074618,,0.0074618,15.917534373002127,
abc398_b,2025-03-22T00:00:00,2025-03-22T00:00:00,medium,sonnet,anthropic,claude-sonnet-4-6,succeeded,1,380,153,533,0.003435,,0.003435,3.1892616889672354,
abc398_d,2025-03-22T00:00:00,2025-03-22T00:00:00,hard,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,0,723,32768,33491,0.0823538,,0.0823538,119.98634159599897,
abc398_d,2025-03-22T00:00:00,2025-03-22T00:00:00,hard,sonnet,anthropic,claude-sonnet-4-6,succeeded,1,802,1319,2121,0.022191000000000002,,0.022191000000000002,22.71184014697792,
abc398_c,2025-03-22T00:00:00,2025-03-22T00:00:00,medium,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,1,357,1738,2095,0.0045592,,0.0045592,6.673886951990426,
abc398_c,2025-03-22T00:00:00,2025-03-22T00:00:00,medium,sonnet,anthropic,claude-sonnet-4-6,succeeded,1,391,113,504,0.002868,,0.002868,2.1123623000457883,
abc398_g,2025-03-22T00:00:00,2025-03-22T00:00:00,hard,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,0,584,32768,33352,0.08227040000000001,,0.08227040000000001,155.3538160569733,
abc398_g,2025-03-22T00:00:00,2025-03-22T00:00:00,hard,sonnet,anthropic,claude-sonnet-4-6,succeeded,0,659,1069,1728,0.018012,,0.018012,17.631075259996578,
