task_id,cluster_key,contest_date,difficulty,endpoint_id,provider,model,call_status,passed,prompt_tokens,completion_tokens,total_tokens,estimated_cost_usd,provider_cost_usd,charged_cost_usd,latency_s,error_message
abc400_g,2025-04-05T00:00:00,2025-04-05T00:00:00,hard,gpt55,openai,gpt-5.5,succeeded,0,929,4096,5025,0.042121250000000006,,0.042121250000000006,103.31307664400083,
abc400_g,2025-04-05T00:00:00,2025-04-05T00:00:00,hard,sonnet,anthropic,claude-sonnet-4-6,succeeded,0,1061,1200,2261,0.021183,,0.021183,22.92194427602226,
abc400_g,2025-04-05T00:00:00,2025-04-05T00:00:00,hard,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,0,909,4096,5005,,,,196.80144063199987,
abc400_g,2025-04-05T00:00:00,2025-04-05T00:00:00,hard,deepseek,openrouter,deepseek/deepseek-chat,succeeded,0,936,684,1620,,,,78.7021940779814,
abc400_g,2025-04-05T00:00:00,2025-04-05T00:00:00,hard,qwen3,openrouter,qwen/qwen3-coder,succeeded,0,981,1819,2800,,,,27.170113041996956,
abc399_e,2025-03-29T00:00:00,2025-03-29T00:00:00,hard,gpt55,openai,gpt-5.5,succeeded,0,436,4096,4532,0.041505,,0.041505,82.52073717699386,
abc399_e,2025-03-29T00:00:00,2025-03-29T00:00:00,hard,sonnet,anthropic,claude-sonnet-4-6,succeeded,0,464,1467,1931,0.023397,,0.023397,23.823842198995408,
abc399_e,2025-03-29T00:00:00,2025-03-29T00:00:00,hard,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,0,433,4096,4529,,,,115.34498736500973,
abc399_e,2025-03-29T00:00:00,2025-03-29T00:00:00,hard,deepseek,openrouter,deepseek/deepseek-chat,succeeded,0,442,684,1126,,,,15.17143787801615,
abc399_e,2025-03-29T00:00:00,2025-03-29T00:00:00,hard,qwen3,openrouter,qwen/qwen3-coder,succeeded,0,439,1030,1469,,,,20.95682112299255,
abc399_d,2025-03-29T00:00:00,2025-03-29T00:00:00,medium,gpt55,openai,gpt-5.5,succeeded,0,698,4096,4794,0.0418325,,0.0418325,83.9342300670105,
abc399_d,2025-03-29T00:00:00,2025-03-29T00:00:00,medium,sonnet,anthropic,claude-sonnet-4-6,succeeded,0,781,1692,2473,0.027723,,0.027723,25.62997087399708,
abc399_d,2025-03-29T00:00:00,2025-03-29T00:00:00,medium,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,0,687,4096,4783,,,,79.57550458802143,
abc399_d,2025-03-29T00:00:00,2025-03-29T00:00:00,medium,deepseek,openrouter,deepseek/deepseek-chat,succeeded,0,679,3839,4518,,,,101.19875940398197,
abc399_d,2025-03-29T00:00:00,2025-03-29T00:00:00,medium,qwen3,openrouter,qwen/qwen3-coder,succeeded,0,703,712,1415,,,,9.98599718901096,
abc399_c,2025-03-29T00:00:00,2025-03-29T00:00:00,medium,gpt55,openai,gpt-5.5,succeeded,1,376,356,732,0.00403,,0.00403,6.541703536990099,
abc399_c,2025-03-29T00:00:00,2025-03-29T00:00:00,medium,sonnet,anthropic,claude-sonnet-4-6,succeeded,1,410,262,672,0.0051600000000000005,,0.0051600000000000005,3.492332838999573,
