source_id,k,systems,base_engines,n_common,oracle,best_single_common,headroom,pairwise_phi,phi_floors_met,tier
terminalbench,3,simple_codex :: gpt-5.3-codex@openai | terminus-3-3 :: gemini-3.1-pro-preview@Google | claude-code-enhanced :: claude-opus-4-6@anthropic,openai/gpt-5 | google/gemini-3 | anthropic/claude-opus-4,89,0.873783,0.750562,0.123221,simple_codex :: gpt-5.3-codex@openai / terminus-3-3 :: gemini-3.1-pro-preview@Google: NA; simple_codex :: gpt-5.3-codex@openai / claude-code-enhanced :: claude-opus-4-6@anthropic: NA; terminus-3-3 :: gemini-3.1-pro-preview@Google / claude-code-enhanced :: claude-opus-4-6@anthropic: NA,False,A- system-level
terminalbench,2,mux :: gpt-5.3-codex@openai | claude-code-enhanced :: claude-opus-4-6@anthropic,openai/gpt-5 | anthropic/claude-opus-4,89,0.805243,0.685393,0.11985,mux :: gpt-5.3-codex@openai / claude-code-enhanced :: claude-opus-4-6@anthropic: NA,False,A- system-level
terminalbench,3,forge :: gemini-3.1-pro-preview@Google | simple_codex :: gpt-5.3-codex@openai | claude-code-enhanced :: claude-opus-4-6@anthropic,google/gemini-3 | openai/gpt-5 | anthropic/claude-opus-4,89,0.901873,0.78427,0.117603,forge :: gemini-3.1-pro-preview@Google / simple_codex :: gpt-5.3-codex@openai: NA; forge :: gemini-3.1-pro-preview@Google / claude-code-enhanced :: claude-opus-4-6@anthropic: NA; simple_codex :: gpt-5.3-codex@openai / claude-code-enhanced :: claude-opus-4-6@anthropic: NA,False,A- system-level
terminalbench,3,forge :: gemini-3.1-pro-preview@Google | Factory Droid :: gpt-5.3-codex@openai | claude-code-enhanced :: claude-opus-4-6@anthropic,google/gemini-3 | openai/gpt-5 | anthropic/claude-opus-4,89,0.901124,0.78427,0.116854,forge :: gemini-3.1-pro-preview@Google / Factory Droid :: gpt-5.3-codex@openai: NA; forge :: gemini-3.1-pro-preview@Google / claude-code-enhanced :: claude-opus-4-6@anthropic: NA; Factory Droid :: gpt-5.3-codex@openai / claude-code-enhanced :: claude-opus-4-6@anthropic: NA,False,A- system-level
terminalbench,3,forge :: gemini-3.1-pro-preview@Google | Factory Droid :: gpt-5.3-codex@openai | Factory Droid :: claude-opus-4-6@anthropic,google/gemini-3 | openai/gpt-5 | anthropic/claude-opus-4,89,0.898876,0.78427,0.114607,forge :: gemini-3.1-pro-preview@Google / Factory Droid :: gpt-5.3-codex@openai: NA; forge :: gemini-3.1-pro-preview@Google / Factory Droid :: claude-opus-4-6@anthropic: NA; Factory Droid :: gpt-5.3-codex@openai / Factory Droid :: claude-opus-4-6@anthropic: NA,False,A- system-level
llmrouterbench_livecodebench,3,Qwen3-8B | deepseek-v3.1-terminus | kimi-k2-0905,qwen/qwen3-8b | deepseek/deepseek-v3 | moonshot/kimi-k2,1055,0.789573,0.676777,0.112796,Qwen3-8B / deepseek-v3.1-terminus: 0.594; Qwen3-8B / kimi-k2-0905: 0.594; deepseek-v3.1-terminus / kimi-k2-0905: 0.660,True,A
llmrouterbench_livecodebench,3,Qwen3-8B | kimi-k2-0905 | deepseek-v3-0324,qwen/qwen3-8b | moonshot/kimi-k2 | deepseek/deepseek-v3,1055,0.781991,0.676777,0.105213,Qwen3-8B / kimi-k2-0905: 0.594; Qwen3-8B / deepseek-v3-0324: 0.628; kimi-k2-0905 / deepseek-v3-0324: 0.685,True,A
llmrouterbench_livecodebench,2,Qwen3-8B | deepseek-v3.1-terminus,qwen/qwen3-8b | deepseek/deepseek-v3,1055,0.763981,0.676777,0.087204,Qwen3-8B / deepseek-v3.1-terminus: 0.594,True,A
llmrouterbench_livecodebench,2,Qwen3-8B | kimi-k2-0905,qwen/qwen3-8b | moonshot/kimi-k2,1055,0.763981,0.676777,0.087204,Qwen3-8B / kimi-k2-0905: 0.594,True,A
llmrouterbench_livecodebench,2,Qwen3-8B | deepseek-v3-0324,qwen/qwen3-8b | deepseek/deepseek-v3,1055,0.753555,0.676777,0.076777,Qwen3-8B / deepseek-v3-0324: 0.628,True,A
llmrouterbench_swebench,3,claude-sonnet-4 | gemini-2.5-pro | deepseek-r1-0528,anthropic/claude-sonnet-4 | google/gemini-2.5-pro | deepseek/deepseek-r1,500,0.52,0.346,0.174,claude-sonnet-4 / gemini-2.5-pro: 0.523; claude-sonnet-4 / deepseek-r1-0528: 0.368; gemini-2.5-pro / deepseek-r1-0528: 0.368,True,A
llmrouterbench_swebench,3,glm-4.6 | qwen3-235b-a22b-thinking-2507 | gemini-2.5-flash,zai/glm-4.6 | qwen/qwen3-235b-a22b | google/gemini-2.5-flash,500,0.39,0.218,0.172,glm-4.6 / qwen3-235b-a22b-thinking-2507: 0.362; glm-4.6 / gemini-2.5-flash: 0.303; qwen3-235b-a22b-thinking-2507 / gemini-2.5-flash: 0.222,True,A
llmrouterbench_swebench,3,deepseek-r1-0528 | deepseek-v3.1-terminus | qwen3-235b-a22b-thinking-2507,deepseek/deepseek-r1 | deepseek/deepseek-v3 | qwen/qwen3-235b-a22b,500,0.456,0.286,0.17,deepseek-r1-0528 / deepseek-v3.1-terminus: 0.342; deepseek-r1-0528 / qwen3-235b-a22b-thinking-2507: 0.306; deepseek-v3.1-terminus / qwen3-235b-a22b-thinking-2507: 0.345,True,A
llmrouterbench_swebench,3,deepseek-r1-0528 | deepseek-v3.1-terminus | glm-4.6,deepseek/deepseek-r1 | deepseek/deepseek-v3 | zai/glm-4.6,500,0.454,0.286,0.168,deepseek-r1-0528 / deepseek-v3.1-terminus: 0.342; deepseek-r1-0528 / glm-4.6: 0.298; deepseek-v3.1-terminus / glm-4.6: 0.360,True,A
llmrouterbench_swebench,3,deepseek-r1-0528 | deepseek-v3.1-terminus | kimi-k2-0905,deepseek/deepseek-r1 | deepseek/deepseek-v3 | moonshot/kimi-k2,500,0.452,0.286,0.166,deepseek-r1-0528 / deepseek-v3.1-terminus: 0.342; deepseek-r1-0528 / kimi-k2-0905: 0.361; deepseek-v3.1-terminus / kimi-k2-0905: 0.426,True,A
llmrouterbench_mbpp,3,Llama-3.1-8B-Instruct | internlm3-8b-instruct | Qwen3-8B,meta/llama-3.1-8b | internlm/internlm3-8b | qwen/qwen3-8b,973,0.838643,0.6074,0.231244,Llama-3.1-8B-Instruct / internlm3-8b-instruct: 0.302; Llama-3.1-8B-Instruct / Qwen3-8B: 0.260; internlm3-8b-instruct / Qwen3-8B: 0.154,True,A
llmrouterbench_mbpp,3,internlm3-8b-instruct | MiMo-7B-RL-0530 | Qwen3-8B,internlm/internlm3-8b | mimo-7b | qwen/qwen3-8b,973,0.834532,0.605344,0.229188,internlm3-8b-instruct / MiMo-7B-RL-0530: 0.260; internlm3-8b-instruct / Qwen3-8B: 0.154; MiMo-7B-RL-0530 / Qwen3-8B: 0.306,True,A
llmrouterbench_mbpp,3,Llama-3.1-Nemotron-Nano-8B-v1 | Llama-3.1-8B-Instruct | internlm3-8b-instruct,nvidia/llama-3.1-nemotron-nano | meta/llama-3.1-8b | internlm/internlm3-8b,973,0.840699,0.615622,0.225077,Llama-3.1-Nemotron-Nano-8B-v1 / Llama-3.1-8B-Instruct: 0.413; Llama-3.1-Nemotron-Nano-8B-v1 / internlm3-8b-instruct: 0.239; Llama-3.1-8B-Instruct / internlm3-8b-instruct: 0.302,True,A
llmrouterbench_mbpp,3,Llama-3.1-Nemotron-Nano-8B-v1 | internlm3-8b-instruct | Qwen3-8B,nvidia/llama-3.1-nemotron-nano | internlm/internlm3-8b | qwen/qwen3-8b,973,0.837616,0.615622,0.221994,Llama-3.1-Nemotron-Nano-8B-v1 / internlm3-8b-instruct: 0.239; Llama-3.1-Nemotron-Nano-8B-v1 / Qwen3-8B: 0.348; internlm3-8b-instruct / Qwen3-8B: 0.154,True,A
llmrouterbench_mbpp,3,gemma-2-9b-it | internlm3-8b-instruct | Qwen3-8B,google/gemma-2-9b | internlm/internlm3-8b | qwen/qwen3-8b,973,0.84481,0.624872,0.219938,gemma-2-9b-it / internlm3-8b-instruct: 0.334; gemma-2-9b-it / Qwen3-8B: 0.257; internlm3-8b-instruct / Qwen3-8B: 0.154,True,A
llmrouterbench_humaneval,3,internlm3-8b-instruct | gemma-2-9b-it | Qwen3-8B,internlm/internlm3-8b | google/gemma-2-9b | qwen/qwen3-8b,164,0.896341,0.658537,0.237805,internlm3-8b-instruct / gemma-2-9b-it: 0.301; internlm3-8b-instruct / Qwen3-8B: 0.261; gemma-2-9b-it / Qwen3-8B: 0.239,True,A
llmrouterbench_humaneval,3,internlm3-8b-instruct | gemma-2-9b-it | Llama-3.1-Nemotron-Nano-8B-v1,internlm/internlm3-8b | google/gemma-2-9b | nvidia/llama-3.1-nemotron-nano,164,0.890244,0.658537,0.231707,internlm3-8b-instruct / gemma-2-9b-it: 0.301; internlm3-8b-instruct / Llama-3.1-Nemotron-Nano-8B-v1: 0.191; gemma-2-9b-it / Llama-3.1-Nemotron-Nano-8B-v1: 0.222,True,A
llmrouterbench_humaneval,3,internlm3-8b-instruct | Llama-3.1-Nemotron-Nano-8B-v1 | Qwen3-8B,internlm/internlm3-8b | nvidia/llama-3.1-nemotron-nano | qwen/qwen3-8b,164,0.865854,0.658537,0.207317,internlm3-8b-instruct / Llama-3.1-Nemotron-Nano-8B-v1: 0.191; internlm3-8b-instruct / Qwen3-8B: 0.261; Llama-3.1-Nemotron-Nano-8B-v1 / Qwen3-8B: 0.467,True,A
llmrouterbench_humaneval,3,gemma-2-9b-it | Llama-3.1-Nemotron-Nano-8B-v1 | Qwen3-8B,google/gemma-2-9b | nvidia/llama-3.1-nemotron-nano | qwen/qwen3-8b,164,0.853659,0.646341,0.207317,gemma-2-9b-it / Llama-3.1-Nemotron-Nano-8B-v1: 0.222; gemma-2-9b-it / Qwen3-8B: 0.239; Llama-3.1-Nemotron-Nano-8B-v1 / Qwen3-8B: 0.467,True,A
llmrouterbench_humaneval,3,cogito-v1-preview-llama-8B | internlm3-8b-instruct | Qwen3-8B,cogito-v1-llama-8b | internlm/internlm3-8b | qwen/qwen3-8b,164,0.884146,0.695122,0.189024,cogito-v1-preview-llama-8B / internlm3-8b-instruct: 0.361; cogito-v1-preview-llama-8B / Qwen3-8B: 0.276; internlm3-8b-instruct / Qwen3-8B: 0.261,True,A
